,Time,bitrate_mbps,rtt_time,SmoothedRTT
0,0.0,141.0672923976454,0.0,12.949
1,1.000101,161.59987264085845,1.000101,16.675
2,2.000082,142.82615697713973,2.000082,23.016
3,3.000114,118.84577630120076,3.000114,14.063
4,4.000165,113.1259053379183,4.000165,14.615
5,5.000093,106.85823451239044,5.000093,13.621
6,6.000132,100.08836105880629,6.000132,21.136
7,7.000106,81.31301103280181,7.000106,36.239
8,8.000188,94.8698273059745,8.000188,10.488
9,9.000221,106.86848958459156,9.000221,15.569
10,10.000164,93.83349847343888,10.000164,18.454
11,11.000131,100.08946475993251,11.000131,16.198
12,12.000094,93.82974006277755,12.000094,17.691
13,13.000101,106.33792552992422,13.000101,14.83
14,14.000131,100.04554431994356,14.000131,13.568
15,15.000533,81.35336141939754,15.000533,7.333
16,16.000119,93.83096486889433,16.000119,10.274
17,17.000113,106.34122775332878,17.000113,14.718
18,18.000112,106.86347008594123,18.000112,19.185
19,19.000102,100.08546172208035,19.000102,15.899
20,20.000105,100.08275343992867,20.000105,20.428
21,21.000135,100.08546172208035,21.000135,13.682
22,22.000138,100.08936333773231,22.000138,19.211
23,23.000102,93.82965058047904,23.000102,22.714
24,24.00011,95.38469994719794,24.00011,12.887
25,25.00021,100.61659956338072,25.00021,14.061
26,26.000115,106.34463160323072,26.000115,10.057
27,27.000082,100.0831590763809,27.000082,11.798
28,28.000108,93.82946043116138,28.000108,17.6
29,29.000118,94.87229273014174,29.000118,15.306
30,30.000125,88.619992819926,30.000125,14.705
31,31.000098,87.57477900682031,31.000098,2.728
32,32.000101,101.1132529511894,32.000101,6.671
33,33.00025,137.60925852857315,33.00025,11.276
34,34.000313,119.40046283078885,34.000313,13.395
35,35.000084,113.11561597527741,35.000084,12.536
36,36.000103,107.90582184621617,36.000103,11.579
37,37.000095,112.5961444373404,37.000095,12.124
38,38.000098,118.8502956815351,38.000098,17.111
39,39.000111,107.38271992366859,39.000111,13.713
40,40.00012,113.12149538186797,40.00012,20.707
41,41.000087,112.5961444373404,41.000087,12.667
42,42.00009,106.85375092534086,42.00009,13.821
43,43.000171,112.60447369383867,43.000171,13.794
44,44.0001,107.38357759104005,44.0001,12.528
45,45.000101,151.16393788130685,45.000101,14.593
46,46.000149,120.94179703290278,46.000149,7.159
47,47.000109,112.59704374977082,47.000109,10.213
48,48.000104,131.36124460362592,48.000104,14.289
49,49.000114,119.37359671979549,49.000114,19.375
50,50.00011,118.85208086062606,50.00011,8.135
51,51.000108,131.3647915362446,51.000108,13.82
52,52.000091,118.85040902464492,52.000091,8.333
53,53.000103,118.84590380251727,53.000103,15.354
54,54.000153,120.41580201479877,54.000153,16.389
55,55.000152,118.85730919361934,55.000152,17.635
56,56.000106,106.86336180246069,56.000106,16.274
57,57.000097,132.40458334888532,57.000097,14.565
58,58.000101,126.15001565031362,58.000101,12.528
59,59.000099,126.14484269267552,59.000099,18.56
60,60.000138,118.85576473302257,60.000138,15.814
61,61.000105,113.11934447301097,61.000105,15.204
62,62.000091,87.57031104486187,62.000091,7.252
63,63.000145,112.60166134132358,63.000145,24.116
64,64.000099,100.08735879995338,64.000099,7.089
65,65.000083,131.878824943252,65.000083,7.303
66,66.000121,131.35468367464443,66.000121,12.253
67,67.000181,112.60582957984714,67.000181,9.411
68,68.000098,93.83001969606046,68.000098,12.402
69,69.000102,106.34122775332878,69.000102,13.35
70,70.000101,100.07474875795559,70.000101,11.85
71,71.000211,94.88207086894093,71.000211,14.082
72,72.000115,87.57538973329974,72.000115,15.078
73,73.000111,93.82974006277755,73.000111,9.732
74,74.000118,118.83080388247424,74.000118,16.061
75,75.000295,106.88281176133653,75.000295,14.306
76,76.000104,93.6756476114512,76.000104,15.568
77,77.001756,93.98763973943032,77.001756,12.845
78,78.000083,106.33038379262538,78.000083,14.103
79,79.000184,112.604816018413,79.000184,19.264
80,80.00011,113.12126612749971,80.00011,21.28
81,81.000079,106.84915309190563,81.000079,12.624
82,82.000203,106.34866959973652,82.000203,17.455
83,83.000132,93.83368304600405,83.000132,7.776
84,84.000097,100.60814939190611,84.000097,13.336
85,85.000086,93.8299302132286,85.000086,15.042
86,86.000091,112.5950169614543,86.000091,9.886
87,87.000104,106.33048518704034,87.000104,10.976
88,88.000204,106.33877483458706,88.000204,12.053
89,89.000226,100.62001841786481,89.000226,7.744
90,90.000097,100.00975666324517,90.000097,13.556
91,91.000857,87.6411212964678,91.000857,17.34
92,92.000103,81.30211815444757,92.000103,23.931
93,93.000319,75.07347976840771,93.000319,59.65
94,94.000197,106.35228947734707,94.000197,10.298
95,95.000092,112.57869793475587,95.000092,15.082
96,96.00025,106.35005159047907,96.00025,70.69
97,97.000166,62.55553887235008,97.000166,6.881
98,98.000135,108.43036336419978,98.000135,7.191
99,99.000097,176.71250859323553,99.000097,8.419
100,100.000105,194.42557320476047,100.000105,8.164
101,101.000166,194.97197982981837,101.000166,14.842
102,102.000098,164.72249671836752,102.000098,8.634
103,103.00011,181.40744035431774,103.00011,14.042
104,104.000099,151.17105583204665,104.000099,7.596
105,105.0001,181.40544,105.0001,13.641
106,106.0001,163.6779981004884,106.0001,15.789
107,107.000124,163.16586256304004,107.000124,9.959
108,108.000092,168.88509658260267,108.000092,12.62
109,109.000149,158.9967590303248,109.000149,12.082
110,110.000109,169.41802971839746,110.000109,13.781
111,111.000097,151.17044312131273,111.000097,12.244
112,112.000102,158.9910349324787,112.000102,15.996
113,113.000098,182.96177710424854,113.000098,11.434
114,114.000139,157.43254680763624,114.000139,43.28
115,115.000101,112.59547331802143,115.000101,10.712
116,116.00011,125.10807247159953,116.00011,13.225
117,117.000103,156.38133417859225,117.000103,7.887
118,118.00012,182.974951201624,118.00012,9.773
119,119.000089,220.736580301434,119.000089,7.569
